Extension (m),Force (N)
-5.612609e-06,-1.3230782e-08
-5.612421e-06,-1.3226741e-08
-5.612233e-06,-1.3223207e-08
-5.6120443e-06,-1.3221917e-08
-5.6118556e-06,-1.3222065e-08
-5.6116664e-06,-1.3221741e-08
-5.6114773e-06,-1.322022e-08
-5.611287e-06,-1.3218758e-08
-5.611097e-06,-1.32180995e-08
-5.6109066e-06,-1.32170275e-08
-5.610716e-06,-1.3214512e-08
-5.610524e-06,-1.321294e-08
-5.610331e-06,-1.32155495e-08
-5.6101353e-06,-1.3220524e-08
-5.609938e-06,-1.32242235e-08
-5.6097388e-06,-1.3225398e-08
-5.6095387e-06,-1.3224766e-08
-5.6093377e-06,-1.3223439e-08
-5.6091367e-06,-1.3222925e-08
-5.6089366e-06,-1.3223454e-08
-5.6087374e-06,-1.3223872e-08
-5.6085387e-06,-1.3224372e-08
-5.6083413e-06,-1.3224589e-08
-5.608145e-06,-1.3223396e-08
-5.60795e-06,-1.32215865e-08
-5.6077556e-06,-1.3220805e-08
-5.607563e-06,-1.3221139e-08
-5.607372e-06,-1.3220606e-08
-5.607182e-06,-1.32203954e-08
-5.606994e-06,-1.322283e-08
-5.606807e-06,-1.3224894e-08
-5.60662e-06,-1.3225415e-08
-5.606433e-06,-1.322705e-08
-5.6062454e-06,-1.3229034e-08
-5.606056e-06,-1.3228337e-08
-5.605865e-06,-1.3225152e-08
-5.6056724e-06,-1.3221718e-08
-5.6054787e-06,-1.3218762e-08
-5.6052845e-06,-1.3217301e-08
-5.6050894e-06,-1.32191795e-08
-5.6048953e-06,-1.32218885e-08
-5.6047024e-06,-1.3222372e-08
-5.6045105e-06,-1.3219973e-08
-5.6043204e-06,-1.321747e-08
-5.6041313e-06,-1.32177504e-08
-5.603944e-06,-1.3219936e-08
-5.6037566e-06,-1.3222841e-08
-5.60357e-06,-1.3225287e-08
-5.6033837e-06,-1.322528e-08
-5.6031977e-06,-1.3222914e-08
-5.603012e-06,-1.3220783e-08
-5.602827e-06,-1.322065e-08
-5.602643e-06,-1.3221643e-08
-5.602459e-06,-1.3222505e-08
-5.602276e-06,-1.3223958e-08
-5.602093e-06,-1.32251925e-08
-5.60191e-06,-1.3222941e-08
-5.6017257e-06,-1.3218715e-08
-5.601541e-06,-1.3216213e-08
-5.601355e-06,-1.3215937e-08
-5.601168e-06,-1.3215834e-08
-5.600981e-06,-1.321445e-08
-5.6007934e-06,-1.3211766e-08
-5.6006056e-06,-1.3211311e-08
-5.6004183e-06,-1.321508e-08
-5.6002305e-06,-1.3221503e-08
-5.600042e-06,-1.3226012e-08
-5.5998526e-06,-1.3226561e-08
-5.599662e-06,-1.3225953e-08
-5.5994697e-06,-1.3226084e-08
-5.5992755e-06,-1.32267735e-08
-5.5990795e-06,-1.3227451e-08
-5.5988817e-06,-1.32289015e-08
-5.5986834e-06,-1.3229893e-08
-5.5984847e-06,-1.3229337e-08
-5.5982855e-06,-1.3228041e-08
-5.598086e-06,-1.3227657e-08
-5.5978862e-06,-1.322818e-08
-5.597687e-06,-1.3229587e-08
-5.5974883e-06,-1.3231429e-08
-5.5972905e-06,-1.3231859e-08
-5.597094e-06,-1.32298e-08
-5.596899e-06,-1.3225822e-08
-5.5967043e-06,-1.3222425e-08
-5.5965097e-06,-1.3222899e-08
-5.5963146e-06,-1.3226221e-08
-5.5961186e-06,-1.3230167e-08
-5.5959213e-06,-1.3232646e-08
