Extension (m),Force (N)
-4.9330797e-06,-1.2909613e-08
-4.9328532e-06,-1.2907022e-08
-4.9326286e-06,-1.29036355e-08
-4.932406e-06,-1.2899433e-08
-4.9321857e-06,-1.2895242e-08
-4.9319683e-06,-1.2891942e-08
-4.931753e-06,-1.2889697e-08
-4.931541e-06,-1.28876305e-08
-4.9313303e-06,-1.288505e-08
-4.9311207e-06,-1.2882569e-08
-4.930911e-06,-1.2881411e-08
-4.9307014e-06,-1.2881202e-08
-4.93049e-06,-1.2880172e-08
-4.930277e-06,-1.2878056e-08
-4.9300616e-06,-1.2876676e-08
-4.9298433e-06,-1.2875315e-08
-4.9296223e-06,-1.28725e-08
-4.929397e-06,-1.2869307e-08
-4.929168e-06,-1.2867239e-08
-4.928935e-06,-1.2865584e-08
-4.928698e-06,-1.2863359e-08
-4.928458e-06,-1.28600535e-08
-4.9282153e-06,-1.2856477e-08
-4.9279706e-06,-1.2853319e-08
-4.927724e-06,-1.2850646e-08
-4.9274768e-06,-1.2848848e-08
-4.927228e-06,-1.2848051e-08
-4.926979e-06,-1.2846385e-08
-4.926729e-06,-1.2842748e-08
-4.926479e-06,-1.2839789e-08
-4.92623e-06,-1.2837463e-08
-4.925981e-06,-1.2833697e-08
-4.925734e-06,-1.2829447e-08
-4.9254895e-06,-1.282708e-08
-4.925248e-06,-1.2825421e-08
-4.92501e-06,-1.2822428e-08
-4.9247765e-06,-1.28189015e-08
-4.9245473e-06,-1.28162565e-08
-4.9243217e-06,-1.28143975e-08
-4.9241e-06,-1.2812674e-08
-4.9238797e-06,-1.2810786e-08
-4.923662e-06,-1.28088615e-08
-4.923445e-06,-1.2806598e-08
-4.923229e-06,-1.28043025e-08
-4.923013e-06,-1.28022855e-08
-4.922798e-06,-1.2799068e-08
-4.922583e-06,-1.2794273e-08
-4.922369e-06,-1.2789665e-08
-4.9221553e-06,-1.278608e-08
-4.9219416e-06,-1.27833895e-08
-4.9217283e-06,-1.2782005e-08
-4.921515e-06,-1.2781297e-08
-4.9213004e-06,-1.2780317e-08
-4.9210853e-06,-1.27788455e-08
-4.9208684e-06,-1.2777667e-08
-4.92065e-06,-1.2776559e-08
-4.92043e-06,-1.2773709e-08
-4.9202076e-06,-1.2769732e-08
-4.9199834e-06,-1.2766401e-08
-4.9197574e-06,-1.276358e-08
-4.9195287e-06,-1.2760395e-08
-4.919298e-06,-1.2757512e-08
-4.919066e-06,-1.27556925e-08
-4.918833e-06,-1.2752884e-08
-4.918599e-06,-1.2748644e-08
-4.918366e-06,-1.2744583e-08
-4.918133e-06,-1.2740371e-08
-4.917902e-06,-1.2736372e-08
-4.917673e-06,-1.273388e-08
-4.917445e-06,-1.273273e-08
-4.9172195e-06,-1.2731448e-08
-4.9169953e-06,-1.2728806e-08
-4.9167716e-06,-1.2726118e-08
-4.9165483e-06,-1.2724512e-08
-4.9163255e-06,-1.2722769e-08
-4.916102e-06,-1.2720342e-08
-4.9158784e-06,-1.271796e-08
-4.915654e-06,-1.2714996e-08
-4.9154287e-06,-1.2711682e-08
-4.915203e-06,-1.2708671e-08
-4.9149776e-06,-1.2706107e-08
-4.9147525e-06,-1.2703976e-08
-4.914528e-06,-1.2702378e-08
-4.914303e-06,-1.2700626e-08
-4.914079e-06,-1.2697949e-08
-4.9138534e-06,-1.2694326e-08
-4.9136274e-06,-1.2690384e-08
-4.9134005e-06,-1.268731e-08
-4.9131722e-06,-1.2684652e-08
-4.912942e-06,-1.2681144e-08
-4.9127107e-06,-1.26773285e-08
-4.912478e-06,-1.26739055e-08
-4.912243e-06,-1.2670695e-08
-4.912007e-06,-1.2667184e-08
-4.91177e-06,-1.26637065e-08
-4.911531e-06,-1.26609425e-08
-4.9112914e-06,-1.2659165e-08
-4.911051e-06,-1.2658213e-08
-4.91081e-06,-1.2657041e-08
-4.9105684e-06,-1.2653975e-08
-4.910326e-06,-1.2649617e-08
-4.9100836e-06,-1.2645824e-08
-4.9098403e-06,-1.2642308e-08
-4.909597e-06,-1.2638863e-08
-4.9093537e-06,-1.2635442e-08
-4.9091113e-06,-1.2632566e-08
-4.9088703e-06,-1.2630872e-08
-4.9086316e-06,-1.2628127e-08
-4.908395e-06,-1.2623052e-08
-4.9081605e-06,-1.2617598e-08
-4.907928e-06,-1.261305e-08
-4.907697e-06,-1.2610389e-08
-4.9074683e-06,-1.260951e-08
-4.9072414e-06,-1.2608894e-08
-4.9070163e-06,-1.2608332e-08
-4.906793e-06,-1.2607697e-08
-4.9065716e-06,-1.26054625e-08
-4.9063506e-06,-1.2601984e-08
-4.90613e-06,-1.259822e-08
-4.9059095e-06,-1.2595026e-08
-4.9056885e-06,-1.2592177e-08
-4.9054665e-06,-1.2588413e-08
-4.905244e-06,-1.2584587e-08
-4.905021e-06,-1.25821815e-08
-4.904797e-06,-1.2579978e-08
-4.904573e-06,-1.2576949e-08
-4.904349e-06,-1.2573612e-08
-4.904126e-06,-1.25703155e-08
-4.903903e-06,-1.25666535e-08
-4.9036817e-06,-1.2562447e-08
-4.9034606e-06,-1.2558151e-08
-4.9032415e-06,-1.2554272e-08
-4.903023e-06,-1.2550727e-08
-4.902806e-06,-1.2546844e-08
-4.9025894e-06,-1.2542264e-08
-4.902373e-06,-1.2538679e-08
-4.902156e-06,-1.25351605e-08
-4.901939e-06,-1.2529704e-08
-4.9017212e-06,-1.2524246e-08
-4.9015025e-06,-1.2521485e-08
-4.9012824e-06,-1.2520348e-08
-4.901062e-06,-1.251903e-08
-4.9008404e-06,-1.2516281e-08
-4.900618e-06,-1.2512466e-08
-4.9003947e-06,-1.2509681e-08
-4.900171e-06,-1.2506913e-08
-4.8999464e-06,-1.2503287e-08
-4.899721e-06,-1.2500097e-08
-4.8994953e-06,-1.249721e-08
-4.8992692e-06,-1.2493051e-08
-4.8990423e-06,-1.2489144e-08
-4.898814e-06,-1.2487219e-08
-4.8985844e-06,-1.2485835e-08
-4.8983525e-06,-1.2483824e-08
-4.8981183e-06,-1.2481813e-08
-4.897882e-06,-1.2480014e-08
-4.8976426e-06,-1.2477523e-08
-4.897401e-06,-1.2474399e-08
-4.897157e-06,-1.2471778e-08
-4.8969105e-06,-1.2469429e-08
-4.8966626e-06,-1.2466572e-08
-4.896414e-06,-1.2462939e-08
-4.896165e-06,-1.2459615e-08
-4.895917e-06,-1.2457269e-08
-4.895671e-06,-1.2455966e-08
-4.895427e-06,-1.2453606e-08
-4.895187e-06,-1.2448807e-08
-4.8949505e-06,-1.2442562e-08
-4.894717e-06,-1.2437186e-08
-4.894487e-06,-1.2433815e-08
-4.8942593e-06,-1.2430739e-08
-4.894033e-06,-1.242786e-08
-4.8938077e-06,-1.242607e-08
-4.8935826e-06,-1.2424624e-08
-4.8933566e-06,-1.2422706e-08
-4.8931283e-06,-1.2420275e-08
-4.892898e-06,-1.24181225e-08
-4.892663e-06,-1.2416397e-08
-4.8924244e-06,-1.2414256e-08
-4.892182e-06,-1.241166e-08
-4.891936e-06,-1.2407419e-08
-4.891687e-06,-1.2402369e-08
-4.8914353e-06,-1.2398881e-08
-4.891181e-06,-1.2396843e-08
-4.890926e-06,-1.2393971e-08
-4.8906704e-06,-1.2390058e-08
-4.8904153e-06,-1.2386869e-08
-4.890161e-06,-1.2383565e-08
-4.889909e-06,-1.237886e-08
-4.88966e-06,-1.23737545e-08
-4.8894144e-06,-1.2369047e-08
-4.8891725e-06,-1.2365992e-08
-4.8889347e-06,-1.2364192e-08
-4.888702e-06,-1.2362363e-08
-4.888474e-06,-1.2359097e-08
-4.888251e-06,-1.2354743e-08
-4.888033e-06,-1.2350962e-08
-4.8878187e-06,-1.2348066e-08
-4.887609e-06,-1.2344714e-08
-4.887402e-06,-1.2341017e-08
-4.8871984e-06,-1.233706e-08
-4.8869974e-06,-1.2334336e-08
-4.8867983e-06,-1.2332582e-08
-4.886601e-06,-1.2330176e-08
-4.886404e-06,-1.2326898e-08
-4.8862066e-06,-1.2322976e-08
-4.8860074e-06,-1.2319007e-08
-4.8858064e-06,-1.2316203e-08
-4.8856023e-06,-1.2314297e-08
-4.8853954e-06,-1.2311734e-08
-4.8851853e-06,-1.230795e-08
-4.884972e-06,-1.2304963e-08
-4.884756e-06,-1.2302959e-08
-4.884538e-06,-1.2299862e-08
-4.8843185e-06,-1.22951755e-08
-4.8840975e-06,-1.2290737e-08
-4.8838756e-06,-1.2287904e-08
-4.883653e-06,-1.2285579e-08
-4.8834304e-06,-1.2282281e-08
-4.8832067e-06,-1.2278577e-08
-4.882983e-06,-1.2276494e-08
-4.8827596e-06,-1.2274857e-08
-4.882537e-06,-1.22718715e-08
-4.8823144e-06,-1.2267586e-08
-4.882092e-06,-1.2262291e-08
-4.8818692e-06,-1.22571375e-08
-4.8816455e-06,-1.2254008e-08
-4.881421e-06,-1.2252366e-08
-4.881194e-06,-1.2249415e-08
-4.8809657e-06,-1.2244871e-08
-4.8807356e-06,-1.2241514e-08
-4.8805036e-06,-1.2238793e-08
-4.88027e-06,-1.2234995e-08
-4.880035e-06,-1.2231355e-08
-4.879799e-06,-1.2228438e-08
-4.879562e-06,-1.2226133e-08
-4.879324e-06,-1.2223868e-08
-4.8790857e-06,-1.2221172e-08
-4.878847e-06,-1.2217917e-08
-4.8786073e-06,-1.2213976e-08
-4.8783677e-06,-1.2209481e-08
-4.878128e-06,-1.2205476e-08
-4.877888e-06,-1.220279e-08
-4.8776483e-06,-1.2200386e-08
-4.8774086e-06,-1.2197239e-08
-4.877169e-06,-1.2194639e-08
-4.87693e-06,-1.21923325e-08
-4.8766915e-06,-1.2189743e-08
-4.876454e-06,-1.2186376e-08
-4.8762176e-06,-1.2181719e-08
-4.8759834e-06,-1.2177022e-08
-4.875751e-06,-1.2173331e-08
-4.875521e-06,-1.2169838e-08
-4.8752936e-06,-1.2166721e-08
-4.875068e-06,-1.21648585e-08
-4.8748443e-06,-1.2163433e-08
-4.874622e-06,-1.2160936e-08
-4.8743996e-06,-1.2156055e-08
-4.8741776e-06,-1.2150251e-08
-4.8739566e-06,-1.2145707e-08
-4.873736e-06,-1.21425865e-08
-4.8735174e-06,-1.21397035e-08
-4.8733e-06,-1.2137443e-08
-4.873085e-06,-1.21360255e-08
-4.8728716e-06,-1.2133108e-08
-4.8726597e-06,-1.2128344e-08
-4.8724482e-06,-1.2122841e-08
-4.8722372e-06,-1.2117272e-08
-4.8720262e-06,-1.2112763e-08
-4.8718143e-06,-1.2109591e-08
-4.871602e-06,-1.2107084e-08
-4.8713882e-06,-1.2104164e-08
-4.871174e-06,-1.20998624e-08
-4.8709585e-06,-1.2096081e-08
-4.8707407e-06,-1.2094193e-08
-4.870521e-06,-1.2092369e-08
-4.8702977e-06,-1.2089088e-08
-4.8700717e-06,-1.208487e-08
-4.8698425e-06,-1.2080013e-08
-4.86961e-06,-1.2075801e-08
-4.8693746e-06,-1.2073389e-08
-4.8691372e-06,-1.2071771e-08
-4.8688976e-06,-1.2069838e-08
-4.8686566e-06,-1.2066106e-08
-4.868414e-06,-1.2060949e-08
-4.8681704e-06,-1.2056612e-08
-4.8679253e-06,-1.2052734e-08
-4.867679e-06,-1.2049067e-08
-4.8674315e-06,-1.2046057e-08
-4.8671823e-06,-1.2043419e-08
-4.866932e-06,-1.2040443e-08
-4.8666807e-06,-1.203729e-08
-4.866429e-06,-1.2034181e-08
-4.8661777e-06,-1.2030854e-08
-4.8659276e-06,-1.2026775e-08
-4.86568e-06,-1.2023266e-08
-4.8654347e-06,-1.2021263e-08
-4.8651923e-06,-1.2019091e-08
-4.864953e-06,-1.201727e-08
-4.8647175e-06,-1.2015772e-08
-4.864485e-06,-1.2012495e-08
-4.864255e-06,-1.2007379e-08
-4.864028e-06,-1.2003091e-08
-4.863803e-06,-1.2000392e-08
-4.8635798e-06,-1.1998024e-08
-4.863358e-06,-1.1996245e-08
-4.8631377e-06,-1.1993987e-08
-4.862919e-06,-1.1989495e-08
-4.8627007e-06,-1.1983982e-08
-4.8624834e-06,-1.1979092e-08
-4.862266e-06,-1.1975057e-08
-4.8620486e-06,-1.1970925e-08
-4.8618317e-06,-1.1967317e-08
-4.861615e-06,-1.1965043e-08
-4.8613983e-06,-1.196271e-08
-4.861182e-06,-1.1958864e-08
-4.8609654e-06,-1.195508e-08
-4.860748e-06,-1.1953304e-08
-4.86053e-06,-1.1951691e-08
-4.8603115e-06,-1.1948793e-08
-4.860092e-06,-1.1945273e-08
-4.859872e-06,-1.1941362e-08
-4.8596517e-06,-1.1937038e-08
-4.859431e-06,-1.1932473e-08
-4.85921e-06,-1.1927749e-08
-4.85899e-06,-1.1923294e-08
-4.85877e-06,-1.1920071e-08
-4.8585507e-06,-1.1916786e-08
-4.8583324e-06,-1.1913325e-08
-4.8581155e-06,-1.1909567e-08
-4.8579e-06,-1.1905715e-08
-4.8576853e-06,-1.1903473e-08
-4.857471e-06,-1.1902519e-08
-4.8572565e-06,-1.1900385e-08
-4.857041e-06,-1.1896523e-08
-4.856823e-06,-1.1891114e-08
-4.8566035e-06,-1.1885515e-08
-4.8563807e-06,-1.1881131e-08
-4.856155e-06,-1.187787e-08
-4.855927e-06,-1.18747066e-08
-4.855695e-06,-1.187174e-08
-4.8554607e-06,-1.1869585e-08
-4.8552233e-06,-1.18676375e-08
-4.8549837e-06,-1.1865295e-08
-4.8547427e-06,-1.1861645e-08
-4.8544994e-06,-1.1856783e-08
-4.8542547e-06,-1.18517445e-08
-4.854009e-06,-1.1847494e-08
-4.8537627e-06,-1.1845165e-08
-4.853516e-06,-1.1843426e-08
-4.8532693e-06,-1.1840727e-08
-4.8530223e-06,-1.1838027e-08
-4.8527754e-06,-1.1834857e-08
-4.8525285e-06,-1.183078e-08
-4.852281e-06,-1.1826574e-08
-4.8520324e-06,-1.1822044e-08
-4.8517836e-06,-1.181846e-08
-4.8515335e-06,-1.1816186e-08
-4.851284e-06,-1.1813214e-08
-4.8510337e-06,-1.180901e-08
-4.8507845e-06,-1.1804715e-08
-4.8505367e-06,-1.1800292e-08
-4.8502898e-06,-1.1795733e-08
-4.850044e-06,-1.1791978e-08
-4.8498e-06,-1.1788071e-08
-4.8495567e-06,-1.1783901e-08
-4.849315e-06,-1.1780171e-08
-4.8490733e-06,-1.1775678e-08
-4.8488328e-06,-1.1770469e-08
-4.848593e-06,-1.1766084e-08
-4.848354e-06,-1.1762802e-08
-4.8481147e-06,-1.17607675e-08
-4.847875e-06,-1.1758632e-08
-4.847635e-06,-1.1756186e-08
-4.847395e-06,-1.1754295e-08
-4.847154e-06,-1.1751492e-08
-4.8469133e-06,-1.1747141e-08
-4.846673e-06,-1.1743129e-08
-4.8464335e-06,-1.17403625e-08
-4.8461948e-06,-1.1737372e-08
-4.8459565e-06,-1.1733556e-08
-4.845718e-06,-1.1729854e-08
-4.8454804e-06,-1.1725829e-08
-4.845243e-06,-1.1722337e-08
-4.845007e-06,-1.1719674e-08
-4.844773e-06,-1.1716812e-08
-4.84454e-06,-1.17132295e-08
-4.8443094e-06,-1.1708668e-08
-4.8440806e-06,-1.1704645e-08
-4.8438533e-06,-1.1701481e-08
-4.8436273e-06,-1.1697685e-08
-4.843402e-06,-1.1694389e-08
-4.843177e-06,-1.1691568e-08
-4.842952e-06,-1.1688192e-08
-4.842727e-06,-1.1684857e-08
-4.842501e-06,-1.1682951e-08
-4.842275e-06,-1.1680793e-08
-4.8420484e-06,-1.1677613e-08
-4.8418215e-06,-1.1675197e-08
-4.841595e-06,-1.167328e-08
-4.8413676e-06,-1.1670028e-08
-4.8411403e-06,-1.1665909e-08
-4.840912e-06,-1.1662021e-08
-4.8406823e-06,-1.1658655e-08
-4.840452e-06,-1.1654236e-08
-4.8402217e-06,-1.1648777e-08
-4.83999e-06,-1.16439125e-08
-4.839759e-06,-1.1640686e-08
-4.839528e-06,-1.1637648e-08
-4.8392976e-06,-1.1634234e-08
-4.8390684e-06,-1.1630315e-08
-4.838841e-06,-1.1624893e-08
-4.838615e-06,-1.1619447e-08
-4.8383913e-06,-1.1616189e-08
-4.83817e-06,-1.16145e-08
-4.8379507e-06,-1.1611631e-08
-4.8377324e-06,-1.1606904e-08
-4.837515e-06,-1.1602406e-08
-4.8372976e-06,-1.1598479e-08
-4.8370784e-06,-1.1594778e-08
-4.836857e-06,-1.1591801e-08
-4.8366323e-06,-1.1589907e-08
-4.8364045e-06,-1.1588177e-08
-4.836174e-06,-1.1585252e-08
-4.8359407e-06,-1.1581479e-08
-4.8357056e-06,-1.1578362e-08
-4.835469e-06,-1.1575927e-08
-4.8352313e-06,-1.1573313e-08
-4.8349925e-06,-1.15705845e-08
-4.8347524e-06,-1.1567852e-08
-4.8345114e-06,-1.1564254e-08
-4.8342704e-06,-1.1559263e-08
-4.8340294e-06,-1.1553846e-08
-4.833789e-06,-1.1547726e-08
-4.8335505e-06,-1.1541756e-08
-4.8333136e-06,-1.1537505e-08
-4.83308e-06,-1.1534055e-08
-4.8328484e-06,-1.1530756e-08
-4.832619e-06,-1.1526632e-08
-4.832391e-06,-1.1521588e-08
-4.832164e-06,-1.1517152e-08
-4.8319375e-06,-1.1513585e-08
-4.8317115e-06,-1.1510224e-08
-4.8314864e-06,-1.1507051e-08
-4.831261e-06,-1.1503455e-08
-4.8310358e-06,-1.1500032e-08
-4.8308098e-06,-1.1498862e-08
-4.8305837e-06,-1.1498195e-08
-4.8303577e-06,-1.1495823e-08
-4.8301317e-06,-1.1492542e-08
-4.829905e-06,-1.1489174e-08
-4.829678e-06,-1.1486056e-08
-4.829451e-06,-1.1482633e-08
-4.8292236e-06,-1.1477836e-08
-4.8289967e-06,-1.147252e-08
-4.8287698e-06,-1.1468513e-08
-4.828544e-06,-1.1465445e-08
-4.828321e-06,-1.1462062e-08
-4.8281013e-06,-1.1458382e-08
-4.827887e-06,-1.1454941e-08
-4.8276797e-06,-1.1451392e-08
-4.8274806e-06,-1.1447145e-08
-4.8272914e-06,-1.1442956e-08
-4.827114e-06,-1.1439091e-08
-4.8269485e-06,-1.1435642e-08
-4.8267966e-06,-1.143236e-08
-4.826659e-06,-1.1430041e-08
-4.826536e-06,-1.1430492e-08
-4.8264274e-06,-1.1433069e-08
-4.8263328e-06,-1.1435602e-08
-4.826251e-06,-1.1436003e-08
-4.826181e-06,-1.1433673e-08
-4.8261213e-06,-1.14306875e-08
-4.8260717e-06,-1.1428455e-08
-4.8260304e-06,-1.1428097e-08
-4.8259967e-06,-1.1429813e-08
-4.82597e-06,-1.1431191e-08
-4.8259503e-06,-1.14312755e-08
-4.8259367e-06,-1.14307905e-08
-4.82593e-06,-1.14300605e-08
-4.825929e-06,-1.142959e-08
-4.8259335e-06,-1.1428955e-08
-4.825944e-06,-1.1428495e-08
-4.825959e-06,-1.1428469e-08
-4.825978e-06,-1.1428775e-08
-4.826001e-06,-1.1429814e-08
-4.8260263e-06,-1.1431603e-08
-4.8260536e-06,-1.1433096e-08
-4.8260827e-06,-1.1433225e-08
-4.826112e-06,-1.1431567e-08
-4.8261422e-06,-1.1430426e-08
-4.8261722e-06,-1.14309575e-08
-4.826202e-06,-1.1431189e-08
-4.8262305e-06,-1.1430366e-08
-4.826258e-06,-1.1429779e-08
-4.8262846e-06,-1.1429471e-08
-4.826309e-06,-1.1428531e-08
-4.826332e-06,-1.1427923e-08
-4.8263537e-06,-1.1427848e-08
-4.8263737e-06,-1.1428272e-08
-4.8263914e-06,-1.1429086e-08
-4.8264064e-06,-1.1428922e-08
-4.8264183e-06,-1.1427471e-08
-4.8264255e-06,-1.1425637e-08
-4.826428e-06,-1.1424407e-08
-4.826425e-06,-1.1423456e-08
-4.826417e-06,-1.1422997e-08
-4.8264037e-06,-1.1423241e-08
-4.826385e-06,-1.1422795e-08
-4.826362e-06,-1.1421689e-08
-4.8263346e-06,-1.1420197e-08
-4.826303e-06,-1.1419295e-08
-4.8262687e-06,-1.1419595e-08
-4.8262314e-06,-1.142014e-08
-4.8261923e-06,-1.1420906e-08
-4.8261522e-06,-1.1421681e-08
-4.8261127e-06,-1.1422842e-08
-4.8260745e-06,-1.142373e-08
-4.826038e-06,-1.1424236e-08
-4.826004e-06,-1.142451e-08
-4.825973e-06,-1.1424264e-08
-4.8259453e-06,-1.1423788e-08
-4.825921e-06,-1.14236745e-08
-4.8259008e-06,-1.1423911e-08
-4.8258835e-06,-1.1423442e-08
-4.82587e-06,-1.1422332e-08
-4.82586e-06,-1.14220216e-08
-4.8258535e-06,-1.1422989e-08
-4.825851e-06,-1.142477e-08
-4.825853e-06,-1.14269225e-08
-4.825858e-06,-1.1428386e-08
-4.825867e-06,-1.1428777e-08
-4.825879e-06,-1.1429191e-08
-4.8258926e-06,-1.1429374e-08
-4.825908e-06,-1.1429016e-08
-4.8259244e-06,-1.1427992e-08
-4.8259412e-06,-1.14272325e-08
-4.8259585e-06,-1.1426857e-08
-4.8259753e-06,-1.1426905e-08
-4.825992e-06,-1.1427257e-08
-4.826008e-06,-1.1427376e-08
-4.8260245e-06,-1.14271765e-08
-4.8260404e-06,-1.1426934e-08
-4.826057e-06,-1.1426914e-08
-4.8260754e-06,-1.1427443e-08
-4.826096e-06,-1.1428399e-08
-4.826118e-06,-1.1429892e-08
-4.826143e-06,-1.1431969e-08
-4.826169e-06,-1.1433413e-08
-4.8261963e-06,-1.1432891e-08
-4.8262236e-06,-1.1431826e-08
-4.8262505e-06,-1.1431807e-08
-4.8262755e-06,-1.1433345e-08
-4.8262978e-06,-1.1435793e-08
-4.8263173e-06,-1.1437048e-08
-4.826333e-06,-1.1436859e-08
-4.8263455e-06,-1.1437154e-08
-4.8263532e-06,-1.1437514e-08
-4.8263573e-06,-1.1437176e-08
-4.8263573e-06,-1.1436293e-08
-4.8263537e-06,-1.1435316e-08
-4.826347e-06,-1.1435601e-08
-4.8263364e-06,-1.1436138e-08
-4.8263223e-06,-1.1436281e-08
-4.826306e-06,-1.1435163e-08
-4.826287e-06,-1.1433133e-08
-4.8262664e-06,-1.14321494e-08
-4.826245e-06,-1.1431721e-08
-4.826224e-06,-1.1431946e-08
-4.8262036e-06,-1.1432335e-08
-4.826185e-06,-1.14321805e-08
-4.826169e-06,-1.1431999e-08
-4.8261554e-06,-1.143277e-08
-4.826146e-06,-1.1433962e-08
-4.826141e-06,-1.1434898e-08
-4.8261404e-06,-1.1435566e-08
-4.8261445e-06,-1.14365e-08
-4.826153e-06,-1.1437185e-08
-4.826165e-06,-1.14375105e-08
-4.8261795e-06,-1.1437285e-08
-4.8261963e-06,-1.1436044e-08
-4.8262145e-06,-1.1434755e-08
-4.8262336e-06,-1.1434767e-08
-4.826253e-06,-1.1434876e-08
-4.8262727e-06,-1.1434561e-08
-4.8262914e-06,-1.1433536e-08
-4.826309e-06,-1.1432178e-08
-4.826325e-06,-1.143171e-08
-4.826339e-06,-1.14319345e-08
-4.826351e-06,-1.1433218e-08
-4.8263614e-06,-1.1434644e-08
-4.82637e-06,-1.1434607e-08
-4.8263782e-06,-1.1433712e-08
-4.8263855e-06,-1.1433727e-08
-4.8263933e-06,-1.1434004e-08
-4.826402e-06,-1.1432961e-08
-4.826411e-06,-1.1432246e-08
-4.826421e-06,-1.1432604e-08
-4.826431e-06,-1.1433249e-08
-4.826441e-06,-1.143422e-08
-4.8264496e-06,-1.1434993e-08
-4.8264583e-06,-1.1435379e-08
-4.826466e-06,-1.14352074e-08
-4.826474e-06,-1.1434482e-08
-4.826482e-06,-1.1433842e-08
-4.82649e-06,-1.1434824e-08
-4.8264974e-06,-1.1436628e-08
-4.8265033e-06,-1.14378675e-08
-4.8265074e-06,-1.14387655e-08
-4.82651e-06,-1.1439055e-08
-4.826511e-06,-1.1438377e-08
-4.82651e-06,-1.1437439e-08
-4.8265074e-06,-1.1437169e-08
-4.8265024e-06,-1.143791e-08
-4.8264956e-06,-1.1438052e-08
-4.826486e-06,-1.1437324e-08
-4.8264747e-06,-1.1436715e-08
-4.826462e-06,-1.1436539e-08
-4.8264483e-06,-1.143599e-08
-4.826435e-06,-1.1435936e-08
-4.826423e-06,-1.1436998e-08
-4.8264124e-06,-1.143806e-08
-4.8264046e-06,-1.1438391e-08
-4.8264e-06,-1.1437831e-08
-4.8263983e-06,-1.1436226e-08
-4.8263987e-06,-1.1434796e-08
-4.826401e-06,-1.1434938e-08
-4.8264046e-06,-1.1436324e-08
-4.8264083e-06,-1.1438086e-08
-4.826412e-06,-1.1438282e-08
-4.8264146e-06,-1.1437581e-08
-4.8264164e-06,-1.1437006e-08
-4.8264174e-06,-1.1436722e-08
-4.826418e-06,-1.1437264e-08
-4.826418e-06,-1.14386545e-08
-4.826417e-06,-1.1439733e-08
-4.8264155e-06,-1.1438397e-08
-4.8264137e-06,-1.1435943e-08
-4.826411e-06,-1.1434818e-08
-4.826407e-06,-1.1435579e-08
-4.8264014e-06,-1.1437042e-08
-4.8263937e-06,-1.1437144e-08
-4.8263846e-06,-1.1435882e-08
-4.826374e-06,-1.1434638e-08
-4.8263632e-06,-1.143443e-08
-4.826353e-06,-1.1434597e-08
-4.826343e-06,-1.1435086e-08
-4.8263328e-06,-1.1435673e-08
-4.8263237e-06,-1.1435849e-08
-4.8263146e-06,-1.1435788e-08
-4.826306e-06,-1.1435368e-08
-4.8262978e-06,-1.1434715e-08
-4.82629e-06,-1.14343015e-08
-4.826284e-06,-1.1433313e-08
-4.8262796e-06,-1.143236e-08
-4.826277e-06,-1.1433706e-08
-4.826277e-06,-1.14371606e-08
-4.826279e-06,-1.1439846e-08
-4.8262846e-06,-1.1440677e-08
-4.826292e-06,-1.1440637e-08
-4.826301e-06,-1.1440256e-08
-4.826311e-06,-1.143966e-08
-4.8263223e-06,-1.1439217e-08
-4.826334e-06,-1.143882e-08
-4.8263455e-06,-1.143904e-08
-4.826357e-06,-1.143949e-08
-4.8263673e-06,-1.1439979e-08
-4.8263764e-06,-1.1440905e-08
-4.826384e-06,-1.1441602e-08
-4.82639e-06,-1.1441441e-08
-4.8263937e-06,-1.1441241e-08
-4.826395e-06,-1.1441353e-08
-4.8263937e-06,-1.1441149e-08
-4.82639e-06,-1.1441868e-08
-4.826384e-06,-1.1442485e-08
-4.826377e-06,-1.1441477e-08
-4.82637e-06,-1.1440221e-08
-4.8263655e-06,-1.1439879e-08
-4.826364e-06,-1.1440528e-08
-4.8263673e-06,-1.1441485e-08
-4.826375e-06,-1.14421495e-08
-4.8263882e-06,-1.14422e-08
-4.8264064e-06,-1.144278e-08
-4.8264305e-06,-1.1444808e-08
-4.8264587e-06,-1.1446981e-08
-4.8264915e-06,-1.1448534e-08
-4.8265274e-06,-1.1449172e-08
-4.826566e-06,-1.1449159e-08
-4.826606e-06,-1.144861e-08
-4.8266475e-06,-1.1447813e-08
-4.8266884e-06,-1.1447301e-08
-4.826729e-06,-1.1448159e-08
-4.8267675e-06,-1.14496075e-08
-4.8268043e-06,-1.14497825e-08
-4.8268384e-06,-1.1448092e-08
-4.82687e-06,-1.1446206e-08
-4.826897e-06,-1.1445616e-08
-4.82692e-06,-1.144557e-08
-4.826937e-06,-1.1445106e-08
-4.8269476e-06,-1.144477e-08
-4.8269508e-06,-1.1444448e-08
-4.8269467e-06,-1.1444062e-08
-4.8269353e-06,-1.1443447e-08
-4.8269176e-06,-1.1442905e-08
-4.8268944e-06,-1.1442289e-08
-4.826867e-06,-1.1441226e-08
-4.826836e-06,-1.14412355e-08
-4.8268025e-06,-1.1442232e-08
-4.8267675e-06,-1.1443369e-08
-4.826732e-06,-1.144322e-08
-4.8266975e-06,-1.1442656e-08
-4.826664e-06,-1.144222e-08
-4.826632e-06,-1.1441758e-08
-4.826603e-06,-1.1442294e-08
-4.8265765e-06,-1.1442847e-08
-4.8265533e-06,-1.144269e-08
-4.8265333e-06,-1.14423315e-08
-4.826516e-06,-1.144146e-08
-4.826502e-06,-1.1439894e-08
